,,Industry and Commercial,,,,,,,,,,Domestic,,,,,,,,,,Transport,,,,,,,,,,Grand total,,,,,,,,,,"Population  ('000s, mid-year estimate)",,,,,,,,,,Per Capita Emissions (t),,,,,,,,,,,,,,,,
Code,Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,260.7,264.5,262.1,252.8,228.4,236.1,215.6,228.7,222.1,198.6,370.0,367.2,358.3,362.0,326.6,351.6,306.6,334.5,326.4,271.4,256.2,243.7,245.2,233.0,225.7,235.8,218.2,213.8,209.6,207.1,886.9,875.3,865.5,847.8,780.6,823.4,740.4,777.0,758.0,677.1,152.5,153.7,154.5,156.0,157.3,158.6,160.4,163.9,166.8,170.0,5.8,5.7,5.6,5.4,5.0,5.2,4.6,4.7,4.5,4.0,,,,,,,
E09000022,Lambeth,519.1,546.1,524.3,534.7,505.7,527.2,487.2,524.0,516.5,435.8,602.9,594.7,576.1,583.6,525.1,563.5,493.4,532.6,519.6,429.9,289.8,283.8,281.6,265.2,253.5,246.4,238.0,227.5,221.8,224.5,"1,411.8","1,424.7","1,381.9","1,383.5","1,284.3","1,337.1","1,218.6","1,284.2","1,257.9","1,090.2",277.6,280.5,285.0,289.1,294.1,297.7,304.5,310.2,314.2,318.2,5.1,5.1,4.8,4.8,4.4,4.5,4.0,4.1,4.0,3.4,,,,,,,
E09000023,Lewisham,310.8,313.0,302.1,259.9,235.1,246.9,225.6,234.9,219.5,190.2,575.0,565.7,549.7,554.0,498.2,532.5,466.3,503.0,489.2,407.2,281.4,275.7,274.3,261.3,251.8,247.2,240.2,233.8,225.3,226.3,"1,167.2","1,154.4","1,126.1","1,075.2",985.1,"1,026.7",932.0,971.8,934.0,823.7,254.9,258.0,261.2,266.5,270.4,272.5,276.9,281.6,286.2,291.9,4.6,4.5,4.3,4.0,3.6,3.8,3.4,3.5,3.3,2.8,,,,,,,
E09000024,Merton,290.7,286.5,270.5,361.0,319.0,336.8,299.8,316.5,316.8,224.0,434.9,431.9,419.9,426.9,385.6,415.6,363.4,393.5,386.4,321.9,182.9,176.5,176.0,166.4,159.6,157.6,150.9,148.6,145.1,143.6,908.5,894.9,866.4,954.3,864.2,909.9,814.1,858.7,848.3,689.5,190.6,192.5,194.3,195.9,198.1,199.1,200.5,202.2,203.2,203.5,4.8,4.6,4.5,4.9,4.4,4.6,4.1,4.2,4.2,3.4,,,,,,,
E09000025,Newham,650.5,748.4,734.7,750.6,727.4,795.1,746.5,750.3,764.6,623.2,470.7,469.0,460.6,465.8,421.8,454.7,401.6,429.3,416.8,350.2,329.5,334.0,334.4,316.3,311.2,300.4,287.8,287.3,267.8,285.1,"1,450.6","1,551.4","1,529.6","1,532.7","1,460.4","1,550.1","1,436.0","1,466.8","1,449.2","1,258.4",253.8,258.0,266.3,276.5,286.4,299.2,310.5,314.1,318.2,324.3,5.7,6.0,5.7,5.5,5.1,5.2,4.6,4.7,4.6,3.9,,,,,,,
E09000026,Redbridge,241.9,242.0,233.8,229.6,208.8,211.5,189.4,206.7,193.6,182.7,571.2,567.2,551.7,564.8,513.0,553.1,481.9,521.2,509.4,425.1,270.7,272.0,269.5,243.2,238.3,236.8,253.5,250.2,240.3,244.4,"1,083.8","1,081.2","1,054.9","1,037.7",960.0,"1,001.4",924.8,978.1,943.2,852.2,251.6,255.6,260.0,265.5,270.4,275.1,281.4,284.6,288.3,293.1,4.3,4.2,4.1,3.9,3.5,3.6,3.3,3.4,3.3,2.9,,,,,,,
E09000027,Richmond upon Thames,329.0,335.8,328.2,316.7,274.2,280.4,240.3,269.2,260.9,237.2,479.8,477.8,463.8,472.0,427.6,462.5,402.4,437.8,429.6,357.8,241.3,234.8,232.0,218.4,207.9,204.1,198.5,200.4,194.4,194.1,"1,050.1","1,048.4","1,024.0","1,007.1",909.7,947.1,841.2,907.4,884.8,789.1,181.5,182.5,182.4,182.9,184.4,186.3,187.5,189.1,191.4,193.6,5.8,5.7,5.6,5.5,4.9,5.1,4.5,4.8,4.6,4.1,,,,,,,
E09000028,Southwark,937.5,958.8,924.3,922.4,788.9,838.2,728.5,848.8,791.7,572.0,510.2,505.7,498.9,501.0,454.7,486.1,430.9,461.9,444.2,369.9,283.3,278.1,281.7,261.5,254.7,248.4,240.5,229.5,222.9,226.0,"1,731.0","1,742.6","1,704.9","1,684.9","1,498.3","1,572.7","1,399.9","1,540.2","1,458.8","1,167.9",261.8,267.6,272.6,277.0,281.1,283.8,288.7,293.5,298.5,302.5,6.6,6.5,6.3,6.1,5.3,5.5,4.8,5.2,4.9,3.9,,,,,,,
E09000029,Sutton,247.0,253.5,245.8,258.4,246.8,264.0,224.8,258.9,242.3,191.2,439.8,440.9,430.6,436.3,393.3,419.7,369.0,400.5,390.3,324.5,188.8,182.1,183.5,167.8,164.4,158.8,154.4,151.1,147.7,148.9,875.6,876.5,859.9,862.5,804.5,842.4,748.1,810.4,780.3,664.6,182.1,182.9,184.2,185.9,188.2,189.3,191.1,193.6,195.9,198.1,4.8,4.8,4.7,4.6,4.3,4.4,3.9,4.2,4.0,3.4,,,,,,,
E09000030,Tower Hamlets,"1,321.6","1,661.2","1,645.3","1,705.7","1,459.5","1,572.9","1,307.1","1,458.2","1,341.9","1,143.2",369.7,373.7,372.7,381.8,350.6,375.9,336.7,365.3,349.3,291.1,314.3,316.4,316.4,299.6,291.0,291.9,276.9,265.9,262.4,267.7,"2,005.6","2,351.3","2,334.3","2,387.0","2,101.0","2,240.7","1,920.8","2,089.4","1,953.6","1,702.0",213.4,218.4,225.3,231.9,240.5,248.5,256.0,263.0,272.9,284.0,9.4,10.8,10.4,10.3,8.7,9.0,7.5,7.9,7.2,6.0,,,,,,,
